stock_code,con_date,con_eps_roll
600690,2013-12-31,1.7438
600690,2014-01-02,1.7453
600690,2014-01-03,1.7453
600690,2014-01-06,1.7476
600690,2014-01-07,1.7484
600690,2014-01-08,1.7492
600690,2014-01-09,1.7436
600690,2014-01-10,1.7348
600690,2014-01-13,1.7399
600690,2014-01-14,1.7494
600690,2014-01-15,1.7634
600690,2014-01-16,1.7635
600690,2014-01-17,1.7628
600690,2014-01-20,1.7708
600690,2014-01-21,1.7717
600690,2014-01-22,1.7725
600690,2014-01-23,1.773
600690,2014-01-24,1.7738
600690,2014-01-27,1.761
600690,2014-01-28,1.7618
600690,2014-01-29,1.7697
600690,2014-01-30,1.7718
600690,2014-02-07,1.8021
600690,2014-02-10,1.8046
600690,2014-02-11,1.8054
600690,2014-02-12,1.8063
600690,2014-02-13,1.8071
600690,2014-02-14,1.8053
600690,2014-02-17,1.8009
600690,2014-02-18,1.8017
600690,2014-02-19,1.8195
600690,2014-02-20,1.8204
600690,2014-02-21,1.8212
600690,2014-02-24,1.8237
600690,2014-02-25,1.8245
600690,2014-02-26,1.8254
600690,2014-02-27,1.8287
600690,2014-02-28,1.8181
600690,2014-03-03,1.8165
600690,2014-03-04,1.8171
600690,2014-03-05,1.8177
600690,2014-03-06,1.8183
600690,2014-03-07,1.8188
600690,2014-03-10,1.8162
600690,2014-03-11,1.8226
600690,2014-03-12,1.8207
600690,2014-03-13,1.8217
600690,2014-03-14,1.8225
600690,2014-03-17,1.826
600690,2014-03-18,1.825
600690,2014-03-19,1.8421
600690,2014-03-20,1.8428
600690,2014-03-21,1.8436
600690,2014-03-24,1.8458
600690,2014-03-25,1.8178
600690,2014-03-26,1.7877
600690,2014-03-27,1.7885
600690,2014-03-28,1.787
600690,2014-03-31,1.78
600690,2014-04-01,1.7826
600690,2014-04-02,1.7834
600690,2014-04-03,1.7842
600690,2014-04-04,1.785
600690,2014-04-08,1.8064
600690,2014-04-09,1.7903
600690,2014-04-10,1.7911
600690,2014-04-11,1.7919
600690,2014-04-14,1.8223
600690,2014-04-15,1.8231
600690,2014-04-16,1.824
600690,2014-04-17,1.8243
600690,2014-04-18,1.8251
600690,2014-04-21,1.8257
600690,2014-04-22,1.8265
600690,2014-04-23,1.8222
600690,2014-04-24,1.8315
600690,2014-04-25,1.8226
600690,2014-04-28,1.8348
600690,2014-04-29,1.8228
600690,2014-04-30,1.8236
600690,2014-05-05,1.8276
600690,2014-05-06,1.8277
600690,2014-05-07,1.8398
600690,2014-05-08,1.8406
600690,2014-05-09,1.8412
600690,2014-05-12,1.8437
600690,2014-05-13,1.8447
600690,2014-05-14,1.8455
600690,2014-05-15,1.8467
600690,2014-05-16,1.8475
600690,2014-05-19,1.8431
600690,2014-05-20,1.8598
600690,2014-05-21,1.8607
600690,2014-05-22,1.8615
600690,2014-05-23,1.858
600690,2014-05-26,1.8809
600690,2014-05-27,1.8817
600690,2014-05-28,1.8848
600690,2014-05-29,1.8856
600690,2014-05-30,1.8847
600690,2014-06-03,1.8879
600690,2014-06-04,1.8887
600690,2014-06-05,1.8834
600690,2014-06-06,1.8853
600690,2014-06-09,1.9025
600690,2014-06-10,1.9128
600690,2014-06-11,1.9137
600690,2014-06-12,1.9146
600690,2014-06-13,1.9065
600690,2014-06-16,1.9092
600690,2014-06-17,1.91
600690,2014-06-18,1.9109
600690,2014-06-19,1.9118
600690,2014-06-20,1.9082
600690,2014-06-23,1.9035
600690,2014-06-24,1.9078
600690,2014-06-25,1.9307
600690,2014-06-26,1.926
600690,2014-06-27,1.9269
600690,2014-06-30,1.929
600690,2014-07-01,1.9298
600690,2014-07-02,1.9307
600690,2014-07-03,1.9327
600690,2014-07-04,1.9336
600690,2014-07-07,1.9275
600690,2014-07-08,1.9241
